
==========================================================================================
SOFTMAX GOLDEN MODEL -- TEST SUMMARY
==========================================================================================
MSE target  : <= 0.025
Avg MSE     : 1.026383e-04
Max MSE     : 8.580966e-03
Overall     : ALL PASS
==========================================================================================
Test  0 | bin neg_extreme  N=8  LOW      | N= 8 | MSE=1.8891e-04 | MAE=8.6976e-03 | MaxAE=3.3653e-02 | Sum_hw=1.0004 | PASS
Test 685 | rand-635 N=364                 | N=364 | MSE=2.1687e-06 | MAE=1.6579e-04 | MaxAE=1.8945e-02 | Sum_hw=0.9751 | PASS
Test 686 | rand-636 N=62                  | N=62 | MSE=7.5539e-05 | MAE=1.1038e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 687 | rand-637 N=70                  | N=70 | MSE=6.6475e-05 | MAE=9.7634e-04 | MaxAE=6.8215e-02 | Sum_hw=0.9317 | PASS
Test 688 | rand-638 N=256                 | N=256 | MSE=1.8311e-05 | MAE=3.9530e-04 | MaxAE=6.2385e-02 | Sum_hw=1.0236 | PASS
Test 689 | rand-639 N=390                 | N=390 | MSE=2.3449e-05 | MAE=3.5849e-04 | MaxAE=8.9551e-02 | Sum_hw=1.0393 | PASS
Test 690 | rand-640 N=143                 | N=143 | MSE=2.4979e-05 | MAE=4.5232e-04 | MaxAE=5.9659e-02 | Sum_hw=0.9353 | PASS
Test 691 | rand-641 N= 7                  | N= 7 | MSE=6.6905e-04 | MAE=9.7765e-03 | MaxAE=6.8435e-02 | Sum_hw=0.9316 | PASS
Test 692 | rand-642 N=308                 | N=308 | MSE=1.7518e-05 | MAE=3.9374e-04 | MaxAE=5.8997e-02 | Sum_hw=0.9454 | PASS
Test 693 | rand-643 N=285                 | N=285 | MSE=1.1820e-05 | MAE=2.8832e-04 | MaxAE=5.5070e-02 | Sum_hw=1.0280 | PASS
Test 694 | rand-644 N=491                 | N=491 | MSE=6.3425e-06 | MAE=1.4469e-04 | MaxAE=5.4825e-02 | Sum_hw=0.9442 | PASS
Test 695 | rand-645 N=149                 | N=149 | MSE=1.0625e-05 | MAE=3.4112e-04 | MaxAE=3.7560e-02 | Sum_hw=0.9492 | PASS
Test 696 | rand-646 N=242                 | N=242 | MSE=2.4120e-05 | MAE=4.2631e-04 | MaxAE=7.0344e-02 | Sum_hw=1.0375 | PASS
Test 697 | rand-647 N=148                 | N=148 | MSE=1.3350e-05 | MAE=3.5157e-04 | MaxAE=4.3935e-02 | Sum_hw=0.9480 | PASS
Test 698 | rand-648 N=125                 | N=125 | MSE=2.4373e-05 | MAE=6.7906e-04 | MaxAE=5.1581e-02 | Sum_hw=1.0183 | PASS
Test 699 | rand-649 N=155                 | N=155 | MSE=6.7168e-06 | MAE=2.5246e-04 | MaxAE=3.1791e-02 | Sum_hw=0.9709 | PASS
Test 700 | rand-650 N=73                  | N=73 | MSE=4.4636e-05 | MAE=8.6662e-04 | MaxAE=5.6742e-02 | Sum_hw=0.9367 | PASS
Test 701 | rand-651 N=117                 | N=117 | MSE=1.7340e-05 | MAE=4.5203e-04 | MaxAE=4.4206e-02 | Sum_hw=0.9471 | PASS
Test 702 | rand-652 N=78                  | N=78 | MSE=3.7882e-05 | MAE=9.2587e-04 | MaxAE=4.9338e-02 | Sum_hw=1.0265 | PASS
Test 703 | rand-653 N=301                 | N=301 | MSE=4.4629e-06 | MAE=1.8670e-04 | MaxAE=3.4727e-02 | Sum_hw=1.0180 | PASS
Test 704 | rand-654 N=294                 | N=294 | MSE=2.9524e-06 | MAE=1.3447e-04 | MaxAE=2.8069e-02 | Sum_hw=0.9605 | PASS
Test 705 | rand-655 N=452                 | N=452 | MSE=3.5417e-06 | MAE=9.6072e-05 | MaxAE=3.9878e-02 | Sum_hw=1.0369 | PASS
Test 706 | rand-656 N=445                 | N=445 | MSE=5.8437e-06 | MAE=1.5263e-04 | MaxAE=4.8188e-02 | Sum_hw=1.0285 | PASS
Test 707 | rand-657 N=183                 | N=183 | MSE=5.2613e-06 | MAE=1.9295e-04 | MaxAE=3.0898e-02 | Sum_hw=0.9700 | PASS
Test 708 | rand-658 N=273                 | N=273 | MSE=1.6986e-05 | MAE=2.5034e-04 | MaxAE=6.8097e-02 | Sum_hw=0.9317 | PASS
Test 709 | rand-659 N=176                 | N=176 | MSE=5.9874e-06 | MAE=2.5693e-04 | MaxAE=3.0494e-02 | Sum_hw=0.9763 | PASS
Test 710 | rand-660 N=432                 | N=432 | MSE=3.5218e-06 | MAE=1.5440e-04 | MaxAE=3.4136e-02 | Sum_hw=1.0016 | PASS
Test 711 | rand-661 N=219                 | N=219 | MSE=1.7829e-05 | MAE=3.9173e-04 | MaxAE=5.8954e-02 | Sum_hw=1.0321 | PASS
Test 712 | rand-662 N=357                 | N=357 | MSE=4.1538e-06 | MAE=1.3857e-04 | MaxAE=3.7309e-02 | Sum_hw=0.9505 | PASS
Test 713 | rand-663 N=294                 | N=294 | MSE=1.7590e-05 | MAE=4.0860e-04 | MaxAE=5.6877e-02 | Sum_hw=0.9546 | PASS
Test 714 | rand-664 N=410                 | N=410 | MSE=1.0815e-05 | MAE=1.6453e-04 | MaxAE=6.6583e-02 | Sum_hw=0.9325 | PASS
Test 715 | rand-665 N=171                 | N=171 | MSE=1.1086e-05 | MAE=3.1269e-04 | MaxAE=4.2980e-02 | Sum_hw=1.0334 | PASS
Test 716 | rand-666 N=379                 | N=379 | MSE=1.2374e-05 | MAE=3.1419e-04 | MaxAE=6.4473e-02 | Sum_hw=1.0183 | PASS
Test 717 | rand-667 N= 4                  | N= 4 | MSE=1.1709e-03 | MAE=1.7109e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 718 | rand-668 N=313                 | N=313 | MSE=9.6815e-06 | MAE=1.9271e-04 | MaxAE=5.4794e-02 | Sum_hw=0.9397 | PASS
Test 719 | rand-669 N=300                 | N=300 | MSE=7.5344e-06 | MAE=2.9166e-04 | MaxAE=4.2397e-02 | Sum_hw=1.0400 | PASS
Test 720 | rand-670 N=11                  | N=11 | MSE=4.1510e-04 | MAE=6.1812e-03 | MaxAE=6.7572e-02 | Sum_hw=0.9320 | PASS
Test 721 | rand-671 N=199                 | N=199 | MSE=2.3137e-05 | MAE=3.4267e-04 | MaxAE=6.7854e-02 | Sum_hw=0.9318 | PASS
Test 722 | rand-672 N=467                 | N=467 | MSE=3.3279e-07 | MAE=5.5683e-04 | MaxAE=8.4665e-04 | Sum_hw=0.7400 | PASS
Test 723 | rand-673 N=230                 | N=230 | MSE=3.1297e-05 | MAE=5.0742e-04 | MaxAE=7.6534e-02 | Sum_hw=1.0364 | PASS
Test 724 | rand-674 N=421                 | N=421 | MSE=1.9226e-05 | MAE=3.2585e-04 | MaxAE=8.4628e-02 | Sum_hw=1.0321 | PASS
Test 725 | rand-675 N=261                 | N=261 | MSE=1.2525e-05 | MAE=2.4139e-04 | MaxAE=5.6949e-02 | Sum_hw=0.9370 | PASS
Test 726 | rand-676 N=381                 | N=381 | MSE=1.6531e-05 | MAE=2.9198e-04 | MaxAE=7.4749e-02 | Sum_hw=1.0383 | PASS
Test 727 | rand-677 N=96                  | N=96 | MSE=4.8191e-05 | MAE=7.1081e-04 | MaxAE=6.8017e-02 | Sum_hw=0.9318 | PASS
Test 728 | rand-678 N=460                 | N=460 | MSE=9.9583e-06 | MAE=2.3173e-04 | MaxAE=6.2020e-02 | Sum_hw=0.9342 | PASS
Test 729 | rand-679 N=423                 | N=423 | MSE=2.0721e-05 | MAE=3.1426e-04 | MaxAE=7.0601e-02 | Sum_hw=1.0083 | PASS
Test 730 | rand-680 N= 4                  | N= 4 | MSE=1.1709e-03 | MAE=1.7109e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 731 | rand-681 N=446                 | N=446 | MSE=4.2885e-06 | MAE=1.4134e-04 | MaxAE=4.1536e-02 | Sum_hw=1.0200 | PASS
Test 732 | rand-682 N=23                  | N=23 | MSE=2.0314e-04 | MAE=2.9748e-03 | MaxAE=6.8353e-02 | Sum_hw=0.9316 | PASS
Test 733 | rand-683 N=118                 | N=118 | MSE=3.9690e-05 | MAE=5.7996e-04 | MaxAE=6.8435e-02 | Sum_hw=0.9316 | PASS
Test 734 | rand-684 N=160                 | N=160 | MSE=2.6751e-05 | MAE=6.5845e-04 | MaxAE=5.4430e-02 | Sum_hw=1.0035 | PASS
Test 735 | rand-685 N=37                  | N=37 | MSE=9.6052e-05 | MAE=1.7313e-03 | MaxAE=5.9521e-02 | Sum_hw=0.9359 | PASS
Test 736 | rand-686 N=458                 | N=458 | MSE=1.4554e-06 | MAE=1.6360e-04 | MaxAE=2.0523e-02 | Sum_hw=1.0039 | PASS
Test 737 | rand-687 N=462                 | N=462 | MSE=9.0085e-07 | MAE=6.7991e-05 | MaxAE=1.8313e-02 | Sum_hw=0.9774 | PASS
Test 738 | rand-688 N=459                 | N=459 | MSE=7.8681e-06 | MAE=1.8615e-04 | MaxAE=4.3208e-02 | Sum_hw=0.9981 | PASS
Test 739 | rand-689 N=344                 | N=344 | MSE=1.3565e-06 | MAE=2.5034e-04 | MaxAE=1.4746e-02 | Sum_hw=0.9873 | PASS
Test 740 | rand-690 N=34                  | N=34 | MSE=1.1882e-04 | MAE=1.9446e-03 | MaxAE=6.3506e-02 | Sum_hw=0.9339 | PASS
Test 741 | rand-691 N=238                 | N=238 | MSE=2.6522e-05 | MAE=5.2013e-04 | MaxAE=7.3102e-02 | Sum_hw=1.0368 | PASS
Test 742 | rand-692 N=376                 | N=376 | MSE=8.6594e-06 | MAE=2.5256e-04 | MaxAE=4.8915e-02 | Sum_hw=1.0388 | PASS
Test 743 | rand-693 N=109                 | N=109 | MSE=4.2644e-05 | MAE=6.2701e-04 | MaxAE=6.8178e-02 | Sum_hw=0.9317 | PASS
Test 744 | rand-694 N=414                 | N=414 | MSE=1.3389e-05 | MAE=2.8742e-04 | MaxAE=6.7476e-02 | Sum_hw=1.0160 | PASS
Test 745 | rand-695 N=282                 | N=282 | MSE=1.5650e-05 | MAE=3.2323e-04 | MaxAE=6.5488e-02 | Sum_hw=1.0398 | PASS
Test 746 | rand-696 N=132                 | N=132 | MSE=8.8011e-06 | MAE=3.6517e-04 | MaxAE=2.6230e-02 | Sum_hw=0.9518 | PASS
Test 747 | rand-697 N=373                 | N=373 | MSE=6.0226e-06 | MAE=2.0034e-04 | MaxAE=4.4521e-02 | Sum_hw=1.0143 | PASS
Test 748 | rand-698 N=198                 | N=198 | MSE=1.2228e-05 | MAE=3.4429e-04 | MaxAE=4.7955e-02 | Sum_hw=1.0277 | PASS
Test 749 | rand-699 N=448                 | N=448 | MSE=3.1781e-06 | MAE=1.2371e-04 | MaxAE=3.4177e-02 | Sum_hw=0.9752 | PASS
Test 750 | rand-700 N=15                  | N=15 | MSE=2.9041e-04 | MAE=4.4851e-03 | MaxAE=6.5993e-02 | Sum_hw=0.9327 | PASS
Test 751 | rand-701 N=111                 | N=111 | MSE=5.6641e-05 | MAE=9.8554e-04 | MaxAE=7.5755e-02 | Sum_hw=1.0421 | PASS
Test 752 | rand-702 N=295                 | N=295 | MSE=6.1010e-06 | MAE=3.4395e-04 | MaxAE=3.5343e-02 | Sum_hw=1.0733 | PASS
Test 753 | rand-703 N=366                 | N=366 | MSE=4.3637e-06 | MAE=1.9504e-04 | MaxAE=3.5700e-02 | Sum_hw=1.0000 | PASS
Test 754 | rand-704 N=488                 | N=488 | MSE=2.2133e-06 | MAE=1.6729e-04 | MaxAE=2.5431e-02 | Sum_hw=0.9936 | PASS
Test 755 | rand-705 N=210                 | N=210 | MSE=7.5675e-06 | MAE=4.0080e-04 | MaxAE=2.8294e-02 | Sum_hw=0.9158 | PASS
Test 756 | rand-706 N=97                  | N=97 | MSE=3.7457e-05 | MAE=6.6038e-04 | MaxAE=6.0151e-02 | Sum_hw=0.9359 | PASS
Test 757 | rand-707 N=98                  | N=98 | MSE=4.7790e-05 | MAE=6.9832e-04 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 758 | rand-708 N=69                  | N=69 | MSE=2.1607e-06 | MAE=3.7638e-04 | MaxAE=9.1129e-03 | Sum_hw=0.9740 | PASS
Test 759 | rand-709 N=307                 | N=307 | MSE=1.8783e-05 | MAE=3.3522e-04 | MaxAE=6.7913e-02 | Sum_hw=1.0329 | PASS
Test 760 | rand-710 N=372                 | N=372 | MSE=1.7782e-05 | MAE=3.2344e-04 | MaxAE=7.6861e-02 | Sum_hw=1.0334 | PASS
Test 761 | rand-711 N=258                 | N=258 | MSE=1.8151e-05 | MAE=2.6525e-04 | MaxAE=6.8433e-02 | Sum_hw=0.9316 | PASS
Test 762 | rand-712 N=462                 | N=462 | MSE=9.3471e-07 | MAE=7.3255e-05 | MaxAE=1.9005e-02 | Sum_hw=0.9662 | PASS
Test 763 | rand-713 N=201                 | N=201 | MSE=7.0527e-06 | MAE=3.1340e-04 | MaxAE=3.1971e-02 | Sum_hw=0.9711 | PASS
Test 764 | rand-714 N=500                 | N=500 | MSE=8.9649e-06 | MAE=2.3921e-04 | MaxAE=5.8614e-02 | Sum_hw=1.0779 | PASS
Test 765 | rand-715 N=359                 | N=359 | MSE=3.5375e-06 | MAE=1.7766e-04 | MaxAE=2.4793e-02 | Sum_hw=0.9819 | PASS
Test 766 | rand-716 N=104                 | N=104 | MSE=4.8302e-05 | MAE=9.2062e-04 | MaxAE=6.2841e-02 | Sum_hw=1.0299 | PASS
Test 767 | rand-717 N=469                 | N=469 | MSE=1.0837e-05 | MAE=2.3120e-04 | MaxAE=5.8768e-02 | Sum_hw=0.9876 | PASS
Test 768 | rand-718 N=211                 | N=211 | MSE=1.0270e-05 | MAE=4.1921e-04 | MaxAE=3.1585e-02 | Sum_hw=0.9747 | PASS
Test 769 | rand-719 N=288                 | N=288 | MSE=4.4742e-06 | MAE=1.9448e-04 | MaxAE=3.3147e-02 | Sum_hw=1.0103 | PASS
Test 770 | rand-720 N=433                 | N=433 | MSE=7.9764e-07 | MAE=7.6704e-05 | MaxAE=1.4888e-02 | Sum_hw=0.9834 | PASS
Test 771 | rand-721 N=490                 | N=490 | MSE=1.3465e-05 | MAE=2.5095e-04 | MaxAE=7.8423e-02 | Sum_hw=1.0822 | PASS
Test 772 | rand-722 N=191                 | N=191 | MSE=2.4520e-05 | MAE=3.5830e-04 | MaxAE=6.8434e-02 | Sum_hw=0.9316 | PASS
Test 773 | rand-723 N=426                 | N=426 | MSE=4.7306e-06 | MAE=1.5945e-04 | MaxAE=4.0794e-02 | Sum_hw=1.0253 | PASS
Test 774 | rand-724 N=83                  | N=83 | MSE=3.1827e-05 | MAE=1.2775e-03 | MaxAE=3.8678e-02 | Sum_hw=0.9760 | PASS
Test 775 | rand-725 N=187                 | N=187 | MSE=2.4379e-05 | MAE=3.6344e-04 | MaxAE=6.7518e-02 | Sum_hw=0.9320 | PASS
Test 776 | rand-726 N=174                 | N=174 | MSE=2.1384e-05 | MAE=4.7334e-04 | MaxAE=5.9491e-02 | Sum_hw=1.0366 | PASS
Test 777 | rand-727 N=454                 | N=454 | MSE=1.1703e-05 | MAE=2.1179e-04 | MaxAE=7.1724e-02 | Sum_hw=1.0587 | PASS
Test 778 | rand-728 N=240                 | N=240 | MSE=1.7681e-05 | MAE=2.7733e-04 | MaxAE=6.5126e-02 | Sum_hw=0.9334 | PASS
Test 779 | rand-729 N=346                 | N=346 | MSE=3.7498e-06 | MAE=1.2947e-04 | MaxAE=3.5097e-02 | Sum_hw=0.9712 | PASS
Test 780 | rand-730 N=104                 | N=104 | MSE=1.8809e-05 | MAE=6.2640e-04 | MaxAE=3.1872e-02 | Sum_hw=0.9960 | PASS
Test 781 | rand-731 N=187                 | N=187 | MSE=4.7798e-06 | MAE=2.7696e-04 | MaxAE=2.1372e-02 | Sum_hw=0.9910 | PASS
Test 782 | rand-732 N=240                 | N=240 | MSE=1.9398e-05 | MAE=2.8509e-04 | MaxAE=6.8231e-02 | Sum_hw=0.9316 | PASS
Test 783 | rand-733 N=74                  | N=74 | MSE=6.3290e-05 | MAE=9.2481e-04 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 784 | rand-734 N=139                 | N=139 | MSE=2.2662e-05 | MAE=6.9351e-04 | MaxAE=5.2784e-02 | Sum_hw=1.0380 | PASS
Test 785 | rand-735 N=17                  | N=17 | MSE=2.7541e-04 | MAE=4.0256e-03 | MaxAE=6.8425e-02 | Sum_hw=0.9316 | PASS
Test 786 | rand-736 N=62                  | N=62 | MSE=1.4246e-04 | MAE=2.1256e-03 | MaxAE=8.4869e-02 | Sum_hw=1.0379 | PASS
Test 787 | rand-737 N=351                 | N=351 | MSE=4.8499e-06 | MAE=1.5295e-04 | MaxAE=3.9530e-02 | Sum_hw=1.0254 | PASS
Test 788 | rand-738 N=447                 | N=447 | MSE=2.7026e-06 | MAE=1.6779e-04 | MaxAE=2.6323e-02 | Sum_hw=0.9528 | PASS
Test 789 | rand-739 N=289                 | N=289 | MSE=1.7901e-05 | MAE=4.1656e-04 | MaxAE=6.3001e-02 | Sum_hw=1.0232 | PASS
Test 790 | rand-740 N=471                 | N=471 | MSE=7.8202e-07 | MAE=4.0248e-04 | MaxAE=6.8990e-03 | Sum_hw=1.1856 | PASS
Test 791 | rand-741 N=325                 | N=325 | MSE=2.6936e-05 | MAE=4.0532e-04 | MaxAE=8.5105e-02 | Sum_hw=1.0400 | PASS
Test 792 | rand-742 N= 4                  | N= 4 | MSE=1.1709e-03 | MAE=1.7109e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 793 | rand-743 N=106                 | N=106 | MSE=4.4163e-05 | MAE=6.4576e-04 | MaxAE=6.8420e-02 | Sum_hw=0.9315 | PASS
Test 794 | rand-744 N=443                 | N=443 | MSE=2.0677e-06 | MAE=1.0752e-04 | MaxAE=2.1467e-02 | Sum_hw=0.9953 | PASS
Test 795 | rand-745 N=339                 | N=339 | MSE=1.9004e-06 | MAE=1.8225e-04 | MaxAE=2.0031e-02 | Sum_hw=0.9994 | PASS
Test 796 | rand-746 N=224                 | N=224 | MSE=3.7326e-05 | MAE=5.7670e-04 | MaxAE=6.9351e-02 | Sum_hw=1.0095 | PASS
Test 797 | rand-747 N=324                 | N=324 | MSE=6.5777e-06 | MAE=2.5210e-04 | MaxAE=3.7329e-02 | Sum_hw=1.0211 | PASS
Test 798 | rand-748 N=440                 | N=440 | MSE=5.2074e-06 | MAE=1.5031e-04 | MaxAE=4.4328e-02 | Sum_hw=1.0225 | PASS
Test 799 | rand-749 N= 1                  | N= 1 | MSE=4.6834e-03 | MAE=6.8436e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 800 | rand-750 N=460                 | N=460 | MSE=9.5038e-06 | MAE=3.2885e-04 | MaxAE=5.2366e-02 | Sum_hw=1.1469 | PASS
Test 801 | rand-751 N=333                 | N=333 | MSE=3.0186e-05 | MAE=4.1278e-04 | MaxAE=9.1494e-02 | Sum_hw=1.0455 | PASS
Test 802 | rand-752 N=93                  | N=93 | MSE=6.4639e-05 | MAE=1.2952e-03 | MaxAE=7.3732e-02 | Sum_hw=1.0270 | PASS
Test 803 | rand-753 N=406                 | N=406 | MSE=9.0562e-06 | MAE=2.5217e-04 | MaxAE=4.9121e-02 | Sum_hw=1.0326 | PASS
Test 804 | rand-754 N=265                 | N=265 | MSE=2.8472e-05 | MAE=4.6106e-04 | MaxAE=6.7462e-02 | Sum_hw=1.0127 | PASS
Test 805 | rand-755 N=493                 | N=493 | MSE=3.6970e-06 | MAE=1.3327e-04 | MaxAE=4.0835e-02 | Sum_hw=1.0295 | PASS
Test 806 | rand-756 N=112                 | N=112 | MSE=4.1813e-05 | MAE=6.1103e-04 | MaxAE=6.8433e-02 | Sum_hw=0.9316 | PASS
Test 807 | rand-757 N=86                  | N=86 | MSE=6.5311e-05 | MAE=1.0067e-03 | MaxAE=7.4335e-02 | Sum_hw=1.0800 | PASS
Test 808 | rand-758 N=314                 | N=314 | MSE=1.2871e-05 | MAE=2.1061e-04 | MaxAE=6.3523e-02 | Sum_hw=0.9339 | PASS
Test 809 | rand-759 N=258                 | N=258 | MSE=1.1134e-05 | MAE=2.3196e-04 | MaxAE=5.3209e-02 | Sum_hw=0.9402 | PASS
Test 810 | rand-760 N=463                 | N=463 | MSE=1.7330e-06 | MAE=1.4540e-04 | MaxAE=1.5726e-02 | Sum_hw=0.9327 | PASS
Test 811 | rand-761 N=389                 | N=389 | MSE=3.5490e-07 | MAE=4.3541e-05 | MaxAE=1.0460e-02 | Sum_hw=0.9831 | PASS
Test 812 | rand-762 N=192                 | N=192 | MSE=1.0913e-05 | MAE=5.9442e-04 | MaxAE=3.6975e-02 | Sum_hw=1.0577 | PASS
Test 813 | rand-763 N=33                  | N=33 | MSE=1.4192e-04 | MAE=2.0738e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 814 | rand-764 N=263                 | N=263 | MSE=1.7512e-05 | MAE=2.5928e-04 | MaxAE=6.7865e-02 | Sum_hw=0.9318 | PASS
Test 815 | rand-765 N=495                 | N=495 | MSE=2.5325e-06 | MAE=1.2118e-04 | MaxAE=3.2648e-02 | Sum_hw=1.0053 | PASS
Test 816 | rand-766 N=346                 | N=346 | MSE=1.3421e-05 | MAE=1.9748e-04 | MaxAE=6.8145e-02 | Sum_hw=0.9317 | PASS
Test 817 | rand-767 N=365                 | N=365 | MSE=4.8587e-06 | MAE=1.4357e-04 | MaxAE=4.1614e-02 | Sum_hw=1.0308 | PASS
Test 818 | rand-768 N=355                 | N=355 | MSE=4.5424e-06 | MAE=1.6598e-04 | MaxAE=3.8631e-02 | Sum_hw=1.0183 | PASS
Test 819 | rand-769 N=455                 | N=455 | MSE=9.9886e-06 | MAE=1.4964e-04 | MaxAE=6.7415e-02 | Sum_hw=0.9319 | PASS
Test 820 | rand-770 N=273                 | N=273 | MSE=3.1351e-06 | MAE=1.6036e-04 | MaxAE=2.7208e-02 | Sum_hw=0.9562 | PASS
Test 821 | rand-771 N=369                 | N=369 | MSE=3.3873e-06 | MAE=1.2093e-04 | MaxAE=3.4870e-02 | Sum_hw=1.0251 | PASS
Test 822 | rand-772 N=373                 | N=373 | MSE=9.4518e-07 | MAE=7.6078e-05 | MaxAE=1.8034e-02 | Sum_hw=1.0077 | PASS
Test 823 | rand-773 N=225                 | N=225 | MSE=1.7436e-06 | MAE=1.6934e-04 | MaxAE=1.3945e-02 | Sum_hw=0.9619 | PASS
Test 824 | rand-774 N=154                 | N=154 | MSE=4.5297e-05 | MAE=7.3194e-04 | MaxAE=7.5881e-02 | Sum_hw=1.0402 | PASS
Test 825 | rand-775 N=369                 | N=369 | MSE=5.5194e-06 | MAE=3.0261e-04 | MaxAE=2.7230e-02 | Sum_hw=0.9613 | PASS
Test 826 | rand-776 N=59                  | N=59 | MSE=7.5363e-05 | MAE=1.1483e-03 | MaxAE=6.6674e-02 | Sum_hw=0.9323 | PASS
Test 827 | rand-777 N=122                 | N=122 | MSE=3.5647e-05 | MAE=5.5157e-04 | MaxAE=6.5933e-02 | Sum_hw=0.9327 | PASS
Test 828 | rand-778 N=34                  | N=34 | MSE=3.0087e-05 | MAE=1.6726e-03 | MaxAE=2.9202e-02 | Sum_hw=0.9431 | PASS
Test 829 | rand-779 N=78                  | N=78 | MSE=2.2341e-05 | MAE=1.3760e-03 | MaxAE=3.3238e-02 | Sum_hw=1.0674 | PASS
Test 830 | rand-780 N=109                 | N=109 | MSE=2.1138e-05 | MAE=5.1824e-04 | MaxAE=4.7738e-02 | Sum_hw=0.9435 | PASS
Test 831 | rand-781 N=341                 | N=341 | MSE=1.6068e-05 | MAE=3.0974e-04 | MaxAE=7.1288e-02 | Sum_hw=1.0503 | PASS
Test 832 | rand-782 N=355                 | N=355 | MSE=7.6306e-06 | MAE=2.9550e-04 | MaxAE=4.3800e-02 | Sum_hw=1.0763 | PASS
Test 833 | rand-783 N=417                 | N=417 | MSE=9.4586e-06 | MAE=2.0460e-04 | MaxAE=6.1600e-02 | Sum_hw=1.0542 | PASS
Test 834 | rand-784 N=97                  | N=97 | MSE=4.8283e-05 | MAE=7.0552e-04 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 835 | rand-785 N=225                 | N=225 | MSE=3.9065e-05 | MAE=5.7284e-04 | MaxAE=8.1473e-02 | Sum_hw=1.0341 | PASS
Test 836 | rand-786 N=459                 | N=459 | MSE=2.2089e-06 | MAE=1.6054e-04 | MaxAE=2.8040e-02 | Sum_hw=0.9824 | PASS
Test 837 | rand-787 N=355                 | N=355 | MSE=7.6729e-06 | MAE=2.2279e-04 | MaxAE=4.5535e-02 | Sum_hw=1.0120 | PASS
Test 838 | rand-788 N=202                 | N=202 | MSE=8.4269e-06 | MAE=4.4085e-04 | MaxAE=3.9353e-02 | Sum_hw=1.0371 | PASS
Test 839 | rand-789 N=360                 | N=360 | MSE=4.9375e-07 | MAE=5.2092e-05 | MaxAE=1.0522e-02 | Sum_hw=0.9812 | PASS
Test 840 | rand-790 N=19                  | N=19 | MSE=2.4650e-04 | MAE=3.6019e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 841 | rand-791 N=488                 | N=488 | MSE=7.8915e-06 | MAE=2.1257e-04 | MaxAE=5.5866e-02 | Sum_hw=1.0134 | PASS
Test 842 | rand-792 N=105                 | N=105 | MSE=4.4434e-05 | MAE=6.5133e-04 | MaxAE=6.8305e-02 | Sum_hw=0.9316 | PASS
Test 843 | rand-793 N=103                 | N=103 | MSE=6.7207e-05 | MAE=1.1498e-03 | MaxAE=6.4686e-02 | Sum_hw=1.0109 | PASS
Test 844 | rand-794 N=27                  | N=27 | MSE=1.7346e-04 | MAE=2.5347e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 845 | rand-795 N=57                  | N=57 | MSE=5.5140e-06 | MAE=3.7298e-04 | MaxAE=1.7275e-02 | Sum_hw=0.9867 | PASS
Test 846 | rand-796 N=226                 | N=226 | MSE=7.0256e-06 | MAE=2.1837e-04 | MaxAE=3.9364e-02 | Sum_hw=1.0367 | PASS
Test 847 | rand-797 N=493                 | N=493 | MSE=1.2768e-05 | MAE=2.4859e-04 | MaxAE=5.9774e-02 | Sum_hw=0.9970 | PASS
Test 848 | rand-798 N=134                 | N=134 | MSE=3.0730e-05 | MAE=6.8990e-04 | MaxAE=5.5706e-02 | Sum_hw=1.0190 | PASS
Test 849 | rand-799 N=142                 | N=142 | MSE=3.2555e-05 | MAE=4.8097e-04 | MaxAE=6.7990e-02 | Sum_hw=0.9317 | PASS
Test 850 | rand-800 N=143                 | N=143 | MSE=1.3139e-05 | MAE=3.6312e-04 | MaxAE=4.2471e-02 | Sum_hw=0.9481 | PASS
Test 851 | rand-801 N=99                  | N=99 | MSE=3.2623e-05 | MAE=6.3887e-04 | MaxAE=5.6425e-02 | Sum_hw=0.9368 | PASS
Test 852 | rand-802 N=335                 | N=335 | MSE=1.1882e-05 | MAE=3.0973e-04 | MaxAE=5.8580e-02 | Sum_hw=1.0231 | PASS
Test 853 | rand-803 N=358                 | N=358 | MSE=5.7351e-06 | MAE=2.0369e-04 | MaxAE=4.0527e-02 | Sum_hw=1.0081 | PASS
Test 854 | rand-804 N=394                 | N=394 | MSE=1.0654e-05 | MAE=2.3597e-04 | MaxAE=4.6273e-02 | Sum_hw=0.9996 | PASS
Test 855 | rand-805 N=48                  | N=48 | MSE=8.8344e-05 | MAE=1.8900e-03 | MaxAE=5.6971e-02 | Sum_hw=1.0232 | PASS
Test 856 | rand-806 N=174                 | N=174 | MSE=9.6846e-06 | MAE=3.3183e-04 | MaxAE=3.1903e-02 | Sum_hw=0.9939 | PASS
